Title,Author,Rating,ISBN,Genre,Publisher,PublishDate
Ivanhoe,"Walter Scott, Graham Tulloch (Editor, Introduction)",3.75,9780140436587,"['Classics', 'Historical Fiction', 'Fiction', 'Adventure', 'Literature', 'Historical', 'Romance', 'Classic Literature', 'Novels', '19th Century']",Penguin Books /Penguin Classics,03/30/00
Carry On,Rainbow Rowell (Goodreads Author),4.22,9781250135025,"['Fantasy', 'Young Adult', 'LGBT', 'Romance', 'Fiction', 'Magic', 'Queer', 'Vampires', 'Audiobook', 'Young Adult Fantasy']",Wednesday Books,05/09/17
Princess Academy,Shannon Hale (Goodreads Author),4.01,9781599900735,"['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Romance', 'Fairy Tales', 'Adventure', 'Young Adult Fantasy', 'Juvenile']",Bloomsbury Children's Books,04/17/07
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner (Goodreads Author)",3.98,9780061234002,"['Nonfiction', 'Economics', 'Business', 'Science', 'Psychology', 'Sociology', 'Politics', 'Finance', 'Audiobook', 'Social Science']",William Morrow,10/17/06
The Nightingale,Kristin Hannah (Goodreads Author),4.57,9780312577223,"['Historical Fiction', 'Fiction', 'Historical', 'World War II', 'War', 'Audiobook', 'Adult', 'France', 'Adult Fiction', 'Romance']",St. Martin's Press,02/03/15
Ender's Shadow,Orson Scott Card,4.3,9780765342409,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'Space', 'War', 'Novels']",Starscape,05/19/02
The Aeneid,"Virgil, Robert Fitzgerald (Translator)",3.84,9780679729525,"['Classics', 'Poetry', 'Fiction', 'Mythology', 'Literature', 'School', 'Epic', 'Fantasy', 'Ancient', 'Classic Literature']",Vintage,06/16/90
Unravel Me,Tahereh Mafi,4.23,9780062085535,"['Young Adult', 'Dystopia', 'Fantasy', 'Romance', 'Science Fiction', 'Paranormal', 'Fiction', 'New Adult', 'Post Apocalyptic', 'Supernatural']",HarperCollins,02/05/13
Emma,"Jane Austen, Fiona Stafford (Introduction/Notes)",4.01,9780141439587,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', '19th Century', 'Classic Literature', 'Audiobook', 'British Literature']",Penguin Books,05/06/03
Walk Two Moons,Sharon Creech,3.97,9780060739492,"['Young Adult', 'Fiction', 'Realistic Fiction', 'Middle Grade', 'Childrens', 'School', 'Contemporary', 'Classics', 'Family', 'Juvenile']",HarperTrophy,05/24/96
Angle of Repose,Wallace Stegner,4.24,9780140169300,"['Fiction', 'Historical Fiction', 'Classics', 'Literature', 'Westerns', 'Literary Fiction', 'Novels', 'Book Club', 'Historical', 'Audiobook']",Penguin,05/28/92
Lover Avenged,J.R. Ward (Goodreads Author),4.37,9780451225856,"['Paranormal Romance', 'Paranormal', 'Vampires', 'Romance', 'Fantasy', 'Urban Fantasy', 'Adult', 'Fiction', 'Supernatural', 'Erotica']",NAL,04/28/09
The Shell Seekers,Rosamunde Pilcher,4.16,9780517222850,"['Fiction', 'Romance', 'Historical Fiction', 'Chick Lit', 'Adult Fiction', 'Historical', 'British Literature', 'Contemporary', 'Family', 'Novels']",Gramercy Books,04/06/04
The Corrections,Jonathan Franzen,3.8,9781841156736,"['Fiction', 'Contemporary', 'Novels', 'Literary Fiction', 'Literature', 'American', 'Family', 'The United States Of America', 'Unfinished', 'Adult Fiction']",Fourth Estate Paperbacks,09/02/02
The Bluest Eye,Toni Morrison,4.06,9780452287068,"['Fiction', 'Classics', 'Historical Fiction', 'African American', 'Race', 'Literature', 'Novels', 'Literary Fiction', 'School', 'American']",Plume,09/06/05
Anthem,Ayn Rand,3.63,9780452281257,"['Fiction', 'Classics', 'Philosophy', 'Dystopia', 'Science Fiction', 'School', 'Literature', 'Read For School', 'Politics', 'Novels']",NAL,12/01/99
The Witch of Blackbird Pond,Elizabeth George Speare,3.98,9999999999999,"['Historical Fiction', 'Young Adult', 'Fiction', 'Classics', 'Childrens', 'Historical', 'Middle Grade', 'Witches', 'Romance', 'School']",Laurel Leaf,05/15/78
Under the Dome,Stephen King (Goodreads Author),3.91,9781439148501,"['Horror', 'Fiction', 'Science Fiction', 'Thriller', 'Fantasy', 'Mystery', 'Suspense', 'Audiobook', 'Adult', 'Drama']",Scribner,11/10/09
Living Dead in Dallas,Charlaine Harris (Goodreads Author),3.96,9781841493008,"['Fantasy', 'Vampires', 'Paranormal', 'Urban Fantasy', 'Romance', 'Fiction', 'Mystery', 'Paranormal Romance', 'Supernatural', 'Adult']",Orbit,04/01/04
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan (Goodreads Author),4.17,9781594200823,"['Nonfiction', 'Food', 'Science', 'Health', 'History', 'Nutrition', 'Environment', 'Cooking', 'Audiobook', 'Politics']",The Penguin Press,10/28/06
A Canticle for Leibowitz,"Walter M. Miller Jr., Mary Doria Russell (Goodreads Author) (Introduction)",3.97,9780060892999,"['Science Fiction', 'Fiction', 'Post Apocalyptic', 'Classics', 'Dystopia', 'Fantasy', 'Science Fiction Fantasy', 'Religion', 'Apocalyptic', 'Speculative Fiction']",HarperCollins EOS,05/09/06
The Jungle Books,"Rudyard Kipling, Alev Lytle Croutier (Afterword)",4.01,9780451529756,"['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Adventure', 'Short Stories', 'Literature', 'Animals', 'Young Adult', 'India']",Signet Classics,05/03/05
Collected Fictions,"Jorge Luis Borges, Andrew Hurley (Translator)",4.58,9780140286809,"['Fiction', 'Short Stories', 'Classics', 'Literature', 'Fantasy', 'Magical Realism', 'Philosophy', 'Latin American', 'Spanish Literature', 'Literary Fiction']",Penguin Classics Deluxe Edition,09/30/99
Rubinrot,Kerstin Gier,4.1,9783401063348,"['Fantasy', 'Young Adult', 'Time Travel', 'Romance', 'Historical Fiction', 'Science Fiction', 'Fiction', 'Paranormal', 'Historical', 'Mystery']",Arena Verlag,01/06/09
One Day,David Nicholls,3.8,9780340896969,"['Fiction', 'Romance', 'Contemporary', 'Chick Lit', 'Adult', 'Adult Fiction', 'Novels', 'British Literature', 'Love', 'Drama']",Hodder & Stoughton,01/01/09
The Story of My Life,Helen Keller,4.08,9780553213874,"['Nonfiction', 'Biography', 'Classics', 'Memoir', 'History', 'Autobiography', 'Biography Memoir', 'Historical', 'Disability', 'Inspirational']",Bantam Classics,05/01/90
Digital Fortress,Dan Brown (Goodreads Author),3.66,9999999999999,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Crime', 'Mystery Thriller', 'Novels', 'Adventure', 'Science Fiction', 'Drama']",Corgi books,10/28/04
Something Wicked This Way Comes,Ray Bradbury,3.93,9780380729401,"['Horror', 'Fantasy', 'Fiction', 'Classics', 'Science Fiction', 'Young Adult', 'Science Fiction Fantasy', 'Halloween', 'Audiobook', 'Mystery']",Harper Voyager,03/01/98
Linger,Maggie Stiefvater (Goodreads Author),3.9,9780545123280,"['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Werewolves', 'Fiction', 'Paranormal Romance', 'Supernatural', 'Urban Fantasy', 'Teen']",Scholastic Press,07/13/10
Geek Love,Katherine Dunn,3.95,9780375713347,"['Fiction', 'Horror', 'Fantasy', 'Contemporary', 'Novels', 'Literary Fiction', 'Dark', 'Adult Fiction', 'Adult', 'Literature']",Random House Vintage,06/11/02
Cryptonomicon,Neal Stephenson (Goodreads Author),4.24,9999999999999,"['Fiction', 'Science Fiction', 'Historical Fiction', 'Cyberpunk', 'Thriller', 'Historical', 'Science Fiction Fantasy', 'War', 'Fantasy', 'Novels']",Avon,11/05/02
The Portrait of a Lady,"Henry James, Patricia Crick (Annotations)",3.77,9780141439631,"['Classics', 'Fiction', 'Literature', '19th Century', 'Novels', 'American', 'Historical Fiction', 'Classic Literature', 'Romance', 'Victorian']",Penguin Classics,09/30/03
Because of Winn-Dixie,Kate DiCamillo (Goodreads Author),4.05,9780763616052,"['Fiction', 'Childrens', 'Realistic Fiction', 'Middle Grade', 'Young Adult', 'Animals', 'Classics', 'School', 'Dogs', 'Juvenile']",Candlewick Press,08/06/01
My Name Is Asher Lev,Chaim Potok,4.21,9781400031047,"['Fiction', 'Classics', 'Historical Fiction', 'Jewish', 'Religion', 'Judaism', 'Literature', 'Art', 'Young Adult', 'Novels']",Anchor,03/11/03
How to Win Friends and Influence People,Dale Carnegie,4.2,9999999999999,"['Nonfiction', 'Self Help', 'Business', 'Psychology', 'Personal Development', 'Leadership', 'Classics', 'Communication', 'Audiobook', 'Relationships']",Gallery Books,10/01/98
Song of Solomon,Toni Morrison,4.08,9781400033423,"['Fiction', 'Classics', 'Historical Fiction', 'African American', 'Literature', 'Novels', 'Magical Realism', 'School', 'Literary Fiction', 'American']",Vintage,06/08/04
Hard-Boiled Wonderland and the End of the World,"Haruki Murakami, Alfred Birnbaum (Translator)",4.15,9999999999999,"['Fiction', 'Fantasy', 'Japan', 'Magical Realism', 'Japanese Literature', 'Science Fiction', 'Contemporary', 'Literature', 'Novels', 'Literary Fiction']",Vintage,10/28/03
Jude the Obscure,"Thomas Hardy, Patricia Ingham, Dennis Taylor (Goodreads Author) (With), Jenny Sterlin (Narrator), Mark Oxford, James Oliver Smith Jr. (Editor)",3.82,9780486452432,"['Classics', 'Fiction', 'Literature', '19th Century', 'Victorian', 'Novels', 'British Literature', 'Historical Fiction', 'Classic Literature', 'English Literature']",Dover Publications,12/01/06
Red Rising,Pierce Brown (Goodreads Author),4.25,9780345539786,"['Science Fiction', 'Fantasy', 'Young Adult', 'Dystopia', 'Fiction', 'Audiobook', 'Science Fiction Fantasy', 'Adult', 'Adventure', 'Space']",Del Rey (Random House),01/28/14
Macbeth,William Shakespeare,3.9,9780743477109,"['Classics', 'Plays', 'Fiction', 'Drama', 'School', 'Literature', 'Read For School', 'Theatre', 'High School', 'Poetry']",Simon Schuster,07/01/13
The Namesake,Jhumpa Lahiri,4,9780618485222,"['Fiction', 'India', 'Contemporary', 'Literary Fiction', 'Novels', 'Indian Literature', 'Literature', 'Book Club', 'Adult Fiction', 'Adult']",Mariner Books,09/01/04
Empire of Storms,Sarah J. Maas (Goodreads Author),4.54,9999999999999,"['Fantasy', 'Young Adult', 'Romance', 'New Adult', 'Magic', 'Fiction', 'Fae', 'Young Adult Fantasy', 'High Fantasy', 'Paranormal']",Bloomsbury Children's Books,09/06/16
To All the Boys I've Loved Before,Jenny Han (Goodreads Author),4.15,9999999999999,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Audiobook', 'Chick Lit', 'Realistic Fiction', 'Young Adult Contemporary', 'High School', 'Young Adult Romance']",Simon & Schuster Books for Young Readers,04/15/14
The Death Cure,James Dashner (Goodreads Author),3.77,9780385738774,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Adventure', 'Post Apocalyptic', 'Teen', 'Audiobook', 'Action']",Delacorte Books for Young Readers,10/11/11
Howards End,E.M. Forster,3.95,9781984295293,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'British Literature', 'Novels', '20th Century', 'Literary Fiction', 'Romance', 'Classic Literature']",Createspace Independent Publishing Platform,01/29/18
The Girl on the Train,Paula Hawkins (Goodreads Author),3.93,9781594633669,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Audiobook', 'Adult Fiction']",Riverhead Books,01/13/15
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss (Reader),4.13,9780007173686,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Animals', 'Fantasy', 'Kids', 'Humor', 'Mathematics']",Harper Collins Children's Books,10/06/03
Holy Bible: King James Version,Anonymous,4.41,9999999999999,"['Religion', 'Classics', 'Nonfiction', 'Christian', 'Christianity', 'History', 'Philosophy', 'Reference', 'Spirituality', 'Theology']",,01/15/08
Ficciones,"Jorge Luis Borges, Anthony Kerrigan (translator), Anthony Bonner (translator)",4.44,9780802130303,"['Fiction', 'Short Stories', 'Classics', 'Magical Realism', 'Literature', 'Fantasy', 'Spanish Literature', 'Latin American', 'Philosophy', '20th Century']",Grove Press,02/01/94
It's Kind of a Funny Story,"Ned Vizzini, Rachel Cohn (Foreword)",4.11,9780786851973,"['Young Adult', 'Fiction', 'Contemporary', 'Mental Health', 'Mental Illness', 'Realistic Fiction', 'Romance', 'Psychology', 'Coming Of Age', 'Teen']",Disney-Hyperion,05/01/07
Fire,Kristin Cashore,4.1,9780803734616,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Young Adult Fantasy', 'Adventure', 'Magic', 'High Fantasy', 'Teen', 'Paranormal']",Dial Books,10/05/09
Death on the Nile,Agatha Christie,4.1,9780553119220,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Mystery Thriller', 'Detective', 'Audiobook', 'Thriller', 'British Literature', 'Egypt']",Bantam Books,10/28/78
The Color of Magic,Terry Pratchett,3.99,9780060855925,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Science Fiction', 'Magic', 'Adventure', 'High Fantasy', 'Novels']",Harper,09/13/05
The Hero of Ages,Brandon Sanderson (Goodreads Author),4.48,9780765316899,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Magic', 'Adult', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'Epic']",Tor Books,10/14/08
Shot Down: The True Story of Pilot Howard Snyder and the Crew of the B-17 Susan Ruth,Steve Snyder (Goodreads Author),4.31,9780986076008,"['Military Fiction', 'History', 'Adult', 'Aviation', 'Nonfiction', 'Adventure', 'Biography', 'True Story', 'War', 'New Adult']",Sea Breeze Publishing LLC,08/15/14
The Sorrows of Young Werther,"Johann Wolfgang von Goethe, Philippe Forget, Dr. Riaz-ul-Hassan (Translator), Edla Valdna (Translator), Hugo Flintzer (Illustrator), R. Dillon Boylan (Translation), Charles Louis De Sevelinges, Robert Graves, moreâ€¦",3.67,9780812969900,"['Classics', 'Fiction', 'German Literature', 'Literature', 'Romance', 'Germany', 'School', 'Novels', '18th Century', 'Romanticism']",Modern Library,02/08/05
Still Alice,Lisa Genova (Goodreads Author),4.32,9780595440092,"['Fiction', 'Contemporary', 'Psychology', 'Book Club', 'Adult Fiction', 'Adult', 'Audiobook', 'Medical', 'Realistic Fiction', 'Drama']",iUniverse,07/06/07
The Moon Is a Harsh Mistress,Robert A. Heinlein,4.16,9780340837948,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Audiobook', 'Politics', 'Space', 'Novels', 'Speculative Fiction']",Hodder & Stoughton,03/14/05
Choke,Chuck Palahniuk (Goodreads Author),3.7,9780385720922,"['Fiction', 'Contemporary', 'Humor', 'Novels', 'Literature', 'Adult', 'American', 'Adult Fiction', 'Dark', 'Literary Fiction']",Anchor Books,06/28/02
Battle Royale,"Koushun Takami, Yuji Oniki (Translator)",4.16,9781569317785,"['Fiction', 'Dystopia', 'Horror', 'Science Fiction', 'Young Adult', 'Thriller', 'Japan', 'Japanese Literature', 'Fantasy', 'Novels']","VIZ, LLC",02/26/03
Dandelion Wine,Ray Bradbury,4.07,9780671037703,"['Fiction', 'Classics', 'Science Fiction', 'Fantasy', 'Young Adult', 'Short Stories', 'Coming Of Age', 'Literature', 'Novels', 'American']",Earthlight (UK),07/28/00
Mary Poppins,"P.L. Travers, JÃºlia SardÃ  (Illustrator), Mary Shepard (Illustrator)",4.02,9780152058104,"['Classics', 'Fantasy', 'Childrens', 'Fiction', 'Middle Grade', 'Audiobook', 'Young Adult', 'Juvenile', 'Magic', 'Adventure']",HMH Books for Young Readers,06/01/06
Finale,Becca Fitzpatrick (Goodreads Author),4.18,9781442426672,"['Young Adult', 'Fantasy', 'Angels', 'Romance', 'Paranormal', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Urban Fantasy', 'Young Adult Fantasy']",Simon & Schuster Books for Young Readers,10/23/12
The Awakening,Kelley Armstrong (Goodreads Author),4.14,9780061662768,"['Young Adult', 'Fantasy', 'Paranormal', 'Urban Fantasy', 'Supernatural', 'Romance', 'Magic', 'Werewolves', 'Ghosts', 'Fiction']",HarperCollins,04/28/09
Gift from the Sea,Anne Morrow Lindbergh,4.15,9780394724553,"['Nonfiction', 'Memoir', 'Classics', 'Inspirational', 'Spirituality', 'Self Help', 'Essays', 'Biography', 'Philosophy', 'Biography Memoir']",Vintage,01/30/91
Survivor,Chuck Palahniuk (Goodreads Author),3.91,9780393355932,"['Fiction', 'Contemporary', 'Thriller', 'Novels', 'Humor', 'Dark', 'Literature', 'American', 'Audiobook', 'Adult']",W. W. Norton Company,05/01/18
Revolutionary Road,Richard Yates,3.9,9780413757104,"['Fiction', 'Classics', 'Historical Fiction', 'Novels', 'American', 'Literature', 'Literary Fiction', 'Contemporary', '20th Century', 'Modern Classics']",Methuen,02/01/01
An Abundance of Katherines,John Green (Goodreads Author),3.57,9780525476887,"['Young Adult', 'Contemporary', 'Fiction', 'Romance', 'Realistic Fiction', 'Teen', 'Humor', 'Coming Of Age', 'Young Adult Contemporary', 'Audiobook']",Dutton Books for Young Readers,09/21/06
Antigone,"Sophocles, J.E. Thomas (Translator)",3.66,9781580493888,"['Classics', 'Plays', 'Drama', 'Fiction', 'School', 'Read For School', 'Mythology', 'Theatre', 'Literature', 'High School']",Ingram,12/01/05
The Invention of Hugo Cabret,Brian Selznick,4.22,9780439813785,"['Historical Fiction', 'Fiction', 'Young Adult', 'Childrens', 'Graphic Novels', 'Middle Grade', 'Fantasy', 'Mystery', 'Historical', 'Picture Books']",Scholastic Press,03/28/07
The Ocean at the End of the Lane,Neil Gaiman (Goodreads Author),4,9780062255655,"['Fantasy', 'Fiction', 'Horror', 'Magical Realism', 'Audiobook', 'Young Adult', 'Adult', 'Science Fiction Fantasy', 'Adult Fiction', 'Paranormal']",William Morrow Books,06/18/13
Small Gods,Terry Pratchett,4.3,9780552152976,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Religion', 'Science Fiction', 'Audiobook', 'Novels', 'High Fantasy']",Corgi,08/01/05
Tender Is the Night,"F. Scott Fitzgerald, Amor Towles (Goodreads Author) (Introduction)",3.81,9780684801544,"['Classics', 'Fiction', 'Literature', 'American', 'Novels', 'Romance', '20th Century', 'France', 'Literary Fiction', 'Modern Classics']",Scribner,07/01/95
Cold Sassy Tree,Olive Ann Burns,4.01,B003K15II0,"['Fiction', 'Historical Fiction', 'Classics', 'Southern', 'Historical', 'Adult Fiction', 'Coming Of Age', 'Adult', 'Young Adult', 'Audiobook']",Mariner Books,09/04/07
Nausea,"Jean-Paul Sartre, Lloyd Alexander (Translator), H.P. van den Aardweg (Translator), Hayden Carruth (Introduction)",3.92,9780811201889,"['Philosophy', 'Fiction', 'Classics', 'France', 'Literature', 'French Literature', 'Novels', '20th Century', 'Nobel Prize', 'Unfinished']",New Directions,10/28/69
The Passage,"Justin Cronin (Goodreads Author), Dominique Haas (Traduction)",4.03,9780345504968,"['Horror', 'Fiction', 'Science Fiction', 'Fantasy', 'Post Apocalyptic', 'Vampires', 'Dystopia', 'Thriller', 'Apocalyptic', 'Paranormal']",Ballantine Books,06/08/10
The Reckoning,Kelley Armstrong (Goodreads Author),4.2,9781841497129,"['Young Adult', 'Fantasy', 'Paranormal', 'Urban Fantasy', 'Romance', 'Supernatural', 'Werewolves', 'Magic', 'Ghosts', 'Fiction']",Orbit,04/06/10
Ú¯Ù… Ø´Ø¯Ù‡ Ø§ÛŒ Ø¯Ø± Ù…Ù‡,Ø³ÛŒØ¯ Ù…Ø±ØªØ¶ÛŒ Ù…ØµØ·ÙÙˆÛŒ (Goodreads Author),4.03,9786008382348,"['Fiction', 'Philosophy', 'Spirituality']",Ù†Ø´Ø± Ø¯Ø§Ø³ØªØ§Ù†,01/02/16
Starship Troopers,Robert A. Heinlein,4,9780441783588,"['Science Fiction', 'Fiction', 'Classics', 'Military Fiction', 'War', 'Science Fiction Fantasy', 'Space Opera', 'Fantasy', 'Space', 'Audiobook']",Ace Book,05/15/87
The Poetry of Robert Frost,"Robert Frost, Edward Connery Lathem (Editor)",4.25,9780805005011,"['Poetry', 'Classics', 'Fiction', 'Literature', 'American', '20th Century', 'School', 'Anthologies', 'Nature', 'Collections']",Henry Holt & Company,03/15/79
Ethan Frome,Edith Wharton,3.41,9780142437803,"['Classics', 'Fiction', 'Literature', 'School', 'Romance', 'Historical Fiction', 'American', 'Novels', 'High School', 'Classic Literature']",Penguin Classics,10/28/05
Exodus,Leon Uris,4.34,9780553258479,"['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Israel', 'Jewish', 'War', 'Novels', 'Holocaust', 'Literature']","Bantam Books, Inc.",10/01/86
The Restaurant at the End of the Universe,Douglas Adams,4.21,9999999999999,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Science Fiction Fantasy', 'Classics', 'Audiobook', 'Adventure', 'Novels']",Del Rey,04/26/05
The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher (Goodreads Author),4.11,9780701187934,"['History', 'Nonfiction', 'World War I', 'War', 'Travel', 'Biography', 'Politics', 'European History', '20th Century', 'Biography Memoir']",Chatto & Windus,05/01/14
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,"Stephen R. Covey, Jim Collins (Foreward, Contributor)",4.12,9780743269513,"['Self Help', 'Nonfiction', 'Business', 'Personal Development', 'Psychology', 'Leadership', 'Productivity', 'Management', 'Audiobook', 'Philosophy']",Free Press,11/09/04
The Gargoyle,Andrew Davidson (Goodreads Author),3.97,9780385524940,"['Fiction', 'Fantasy', 'Historical Fiction', 'Romance', 'Historical', 'Contemporary', 'Adult', 'Gothic', 'Paranormal', 'Adult Fiction']",Doubleday,01/01/08
Forrest Gump,Winston Groom,4.06,9780743453257,"['Fiction', 'Humor', 'Historical Fiction', 'Classics', 'Media Tie In', 'Novels', 'Drama', 'Adventure', 'Contemporary', 'Historical']",Washington Square Press,10/01/02
The Sparrow,Mary Doria Russell (Goodreads Author),4.13,9780449912553,"['Science Fiction', 'Fiction', 'Fantasy', 'Religion', 'Science Fiction Fantasy', 'Speculative Fiction', 'Aliens', 'Adult', 'Book Club', 'Novels']",Ballantine Books,09/08/97
I Am the Messenger,"Markus Zusak (Goodreads Author), Emmanuel Pailler",4.05,9780375836671,"['Young Adult', 'Fiction', 'Mystery', 'Contemporary', 'Realistic Fiction', 'Teen', 'Audiobook', 'Australia', 'Adult', 'Coming Of Age']",Alfred A. Knopf Borzoi Books,05/09/06
The Hate U Give,Angie Thomas (Goodreads Author),4.52,9780062498533,"['Young Adult', 'Fiction', 'Contemporary', 'Audiobook', 'Realistic Fiction', 'Race', 'Social Justice', 'Teen', 'Young Adult Contemporary', 'African American']",Balzer + Bray,02/28/17
Walking Disaster,Jamie McGuire (Goodreads Author),4.2,9781476712987,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Contemporary Romance', 'College', 'Fiction', 'Chick Lit', 'Fighters', 'Love']",Atria Books,04/02/13
Gabriel's Inferno,Sylvain Reynard (Goodreads Author),4,9781936305629,"['Romance', 'Contemporary Romance', 'Contemporary', 'Erotica', 'Adult', 'New Adult', 'College', 'Fiction', 'Erotic Romance', 'Chick Lit']",Omnific Publishing,04/04/11
Dreamfever,Karen Marie Moning (Goodreads Author),4.41,9780385341653,"['Fantasy', 'Paranormal', 'Urban Fantasy', 'Romance', 'Paranormal Romance', 'Fae', 'Adult', 'Fiction', 'Magic', 'Supernatural']",Delacorte Press,08/18/09
Around the World in Eighty Days,"Jules Verne, Michael Glencross (Translator, Annotations), Brian W. Aldiss (Introduction)",3.93,9780140449068,"['Classics', 'Fiction', 'Adventure', 'Science Fiction', 'France', 'Travel', 'Fantasy', 'Literature', 'Historical Fiction', 'Novels']",Penguin Books,02/26/04
The Hotel New Hampshire,John Irving (Goodreads Author),3.91,9780552992091,"['Fiction', 'Contemporary', 'Literature', 'Novels', 'Literary Fiction', 'Classics', 'American', 'Humor', 'The United States Of America', 'Adult Fiction']",Black Swan,10/22/82
Pale Fire,Vladimir Nabokov,4.12,9999999999999,"['Fiction', 'Classics', 'Poetry', 'Russia', 'Literature', 'Novels', 'Russian Literature', 'Literary Fiction', '20th Century', 'American']",Penguin Books Ltd,08/31/00
On Writing: A Memoir of the Craft,Stephen King (Goodreads Author),4.33,9780743455961,"['Nonfiction', 'Writing', 'Memoir', 'Biography', 'Reference', 'Autobiography', 'Audiobook', 'Biography Memoir', 'Books About Books', 'Horror']",Pocket Books,07/28/02
Daughter of the Forest,Juliet Marillier (Goodreads Author),4.24,9999999999999,"['Fantasy', 'Romance', 'Fiction', 'Historical Fiction', 'Fairy Tales', 'Young Adult', 'Historical', 'Magic', 'Retellings', 'Adult']",Tom Doherty Associates,02/18/02
The Forgotten Garden,Kate Morton (Goodreads Author),4.14,9780330449601,"['Fiction', 'Historical Fiction', 'Mystery', 'Historical', 'Australia', 'Romance', 'Adult Fiction', 'Adult', 'British Literature', 'Book Club']",Pan Books,06/01/08
Illusions: The Adventures of a Reluctant Messiah,Richard Bach (Goodreads Author),4.14,9999999999999,"['Fiction', 'Philosophy', 'Spirituality', 'Fantasy', 'Classics', 'Religion', 'Inspirational', 'Literature', 'Self Help', 'Novels']",Arrow Books Ltd,03/12/01
Wild Swans: Three Daughters of China,Jung Chang,4.26,9999999999999,"['Nonfiction', 'History', 'China', 'Biography', 'Memoir', 'Asia', 'Historical', 'Autobiography', 'Biography Memoir', 'Asian Literature']",Simon Schuster,08/12/03
The Bridges of Madison County,Robert James Waller,3.62,9780446364492,"['Fiction', 'Romance', 'Classics', 'Chick Lit', 'Contemporary', 'Novels', 'Adult Fiction', 'Adult', 'Love', 'Drama']",Grand Central Publishing,09/01/95
Kane and Abel,Jeffrey Archer,4.31,9780312995058,"['Fiction', 'Historical Fiction', 'Thriller', 'Drama', 'Classics', 'Novels', 'Historical', 'Mystery', 'Contemporary', 'Mystery Thriller']",St. Martin's Paperbacks,03/13/04
Reflected in You,Sylvia Day (Goodreads Author),4.32,9780425263914,"['Romance', 'Erotica', 'Contemporary', 'Contemporary Romance', 'Adult', 'Erotic Romance', 'BDSM', 'Fiction', 'New Adult', 'Chick Lit']",Berkley,10/23/12
Specials,Scott Westerfeld (Goodreads Author),3.76,9780689865404,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Teen', 'Adventure', 'Post Apocalyptic', 'Futuristic']",Simon Pulse,05/09/06
"Absalom, Absalom!",William Faulkner,3.97,9780679732181,"['Classics', 'Fiction', 'Literature', 'American', 'Novels', 'Historical Fiction', 'Southern', 'Southern Gothic', '20th Century', 'Literary Fiction']",Vintage,11/30/90
Shutter Island,Dennis Lehane (Goodreads Author),4.08,9780380731862,"['Mystery', 'Fiction', 'Thriller', 'Horror', 'Suspense', 'Crime', 'Mystery Thriller', 'Novels', 'Psychological Thriller', 'Adult Fiction']",HarperTorch,04/27/04
Mort,Terry Pratchett,4.22,9780061020681,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Magic', 'Novels', 'Death', 'Science Fiction']",Harpertorch,02/06/01
The Golden Lily,Richelle Mead (Goodreads Author),4.33,9781595143181,"['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Magic', 'Supernatural', 'Paranormal Romance', 'Fiction']",Razorbill,06/12/12
